threshold,n_unknowns,stat,acc_Z,acc_X,overall_accuracy
0.22,6,mad05,1.0,1.0,1.0
0.22,8,mad05,1.0,1.0,1.0
0.22,10,mad05,1.0,1.0,1.0
0.22,12,mad05,1.0,1.0,1.0
0.22,16,mad05,1.0,1.0,1.0
0.22,20,mad05,1.0,1.0,1.0
0.23,2,mad05,1.0,1.0,1.0
0.23,4,mad05,1.0,1.0,1.0
0.23,6,mad05,1.0,1.0,1.0
0.23,8,mad05,1.0,1.0,1.0
0.23,10,mad05,1.0,1.0,1.0
0.23,12,mad05,1.0,1.0,1.0
0.23,16,mad05,1.0,1.0,1.0
0.23,20,mad05,1.0,1.0,1.0
0.24,2,mad05,1.0,1.0,1.0
0.24,4,mad05,1.0,1.0,1.0
0.24,6,mad05,1.0,1.0,1.0
0.24,8,mad05,1.0,1.0,1.0
0.24,10,mad05,1.0,1.0,1.0
0.24,12,mad05,1.0,1.0,1.0
0.24,16,mad05,1.0,1.0,1.0
0.24,20,mad05,1.0,1.0,1.0
0.25,2,mad05,1.0,1.0,1.0
0.25,4,mad05,1.0,1.0,1.0
0.25,6,mad05,1.0,1.0,1.0
0.25,8,mad05,1.0,1.0,1.0
0.25,10,mad05,1.0,1.0,1.0
0.25,12,mad05,1.0,1.0,1.0
0.25,16,mad05,1.0,1.0,1.0
0.25,20,mad05,1.0,1.0,1.0
0.26,2,mad05,1.0,1.0,1.0
0.26,4,mad05,1.0,1.0,1.0
0.26,6,mad05,1.0,1.0,1.0
0.26,8,mad05,1.0,1.0,1.0
0.26,10,mad05,1.0,1.0,1.0
0.26,12,mad05,1.0,1.0,1.0
0.26,16,mad05,1.0,1.0,1.0
0.26,20,mad05,1.0,1.0,1.0
0.27,2,mad05,1.0,1.0,1.0
0.27,4,mad05,1.0,1.0,1.0
0.27,6,mad05,1.0,1.0,1.0
0.27,8,mad05,1.0,1.0,1.0
0.27,10,mad05,1.0,1.0,1.0
0.27,12,mad05,1.0,1.0,1.0
0.27,16,mad05,1.0,1.0,1.0
0.27,20,mad05,1.0,1.0,1.0
0.28,2,mad05,1.0,1.0,1.0
0.28,4,mad05,1.0,1.0,1.0
0.28,6,mad05,1.0,1.0,1.0
0.28,8,mad05,1.0,1.0,1.0
0.28,10,mad05,1.0,1.0,1.0
0.28,12,mad05,1.0,1.0,1.0
0.28,16,mad05,1.0,1.0,1.0
0.28,20,mad05,1.0,1.0,1.0
0.29,2,mad05,1.0,1.0,1.0
0.29,4,mad05,1.0,1.0,1.0
0.29,6,mad05,1.0,1.0,1.0
0.29,8,mad05,1.0,1.0,1.0
0.29,10,mad05,1.0,1.0,1.0
0.29,12,mad05,1.0,1.0,1.0
0.29,16,mad05,1.0,1.0,1.0
0.29,20,mad05,1.0,1.0,1.0
0.3,2,mad05,1.0,1.0,1.0
0.3,4,mad05,1.0,1.0,1.0
0.3,6,mad05,1.0,1.0,1.0
0.3,8,mad05,1.0,1.0,1.0
0.3,10,mad05,1.0,1.0,1.0
0.3,12,mad05,1.0,1.0,1.0
0.3,16,mad05,1.0,1.0,1.0
0.3,20,mad05,1.0,1.0,1.0
0.31,2,mad05,1.0,1.0,1.0
0.31,4,mad05,1.0,1.0,1.0
0.31,6,mad05,1.0,1.0,1.0
0.31,8,mad05,1.0,1.0,1.0
0.31,10,mad05,1.0,1.0,1.0
0.31,12,mad05,1.0,1.0,1.0
0.31,16,mad05,1.0,1.0,1.0
0.31,20,mad05,1.0,1.0,1.0
0.32,2,mad05,1.0,1.0,1.0
0.32,4,mad05,1.0,1.0,1.0
0.32,6,mad05,1.0,1.0,1.0
0.32,8,mad05,1.0,1.0,1.0
0.32,10,mad05,1.0,1.0,1.0
0.32,12,mad05,1.0,1.0,1.0
0.32,16,mad05,1.0,1.0,1.0
0.32,20,mad05,1.0,1.0,1.0
0.33,2,mad05,1.0,1.0,1.0
0.33,4,mad05,1.0,1.0,1.0
0.33,6,mad05,1.0,1.0,1.0
0.33,8,mad05,1.0,1.0,1.0
0.33,10,mad05,1.0,1.0,1.0
0.33,12,mad05,1.0,1.0,1.0
0.33,16,mad05,1.0,1.0,1.0
0.33,20,mad05,1.0,1.0,1.0
0.34,2,mad05,1.0,1.0,1.0
0.34,4,mad05,1.0,1.0,1.0
0.34,6,mad05,1.0,1.0,1.0
0.34,8,mad05,1.0,1.0,1.0
0.34,10,mad05,1.0,1.0,1.0
0.34,12,mad05,1.0,1.0,1.0
0.34,16,mad05,1.0,1.0,1.0
0.34,20,mad05,1.0,1.0,1.0
0.35000000000000003,2,mad05,1.0,1.0,1.0
0.35000000000000003,4,mad05,1.0,1.0,1.0
0.35000000000000003,6,mad05,1.0,1.0,1.0
0.35000000000000003,8,mad05,1.0,1.0,1.0
0.35000000000000003,10,mad05,1.0,1.0,1.0
0.35000000000000003,12,mad05,1.0,1.0,1.0
0.35000000000000003,16,mad05,1.0,1.0,1.0
0.35000000000000003,20,mad05,1.0,1.0,1.0
0.36,2,mad05,1.0,1.0,1.0
0.36,4,mad05,1.0,1.0,1.0
0.36,6,mad05,1.0,1.0,1.0
0.36,8,mad05,1.0,1.0,1.0
0.36,10,mad05,1.0,1.0,1.0
0.36,12,mad05,1.0,1.0,1.0
0.36,16,mad05,1.0,1.0,1.0
0.36,20,mad05,1.0,1.0,1.0
0.37,2,mad05,1.0,1.0,1.0
0.37,4,mad05,1.0,1.0,1.0
